,tweetId,createdAt,text,retweetCount,likeCount,isQuote,place,hashtags,userMentions,source,sourceUrl,userId,userName,userScreenName,userCreatedAt,userFollowersCount,userDescription,userVerified,userProtected,userLocation,userFriendsCount,userStatusesCount,userListedCount
0,1324056762220122113,2020-11-04 18:31:46,#CountEveryVote #CountAllTheVotes #CountTheVotes #BidenHarris2020 #Biden https://t.co/wzNnWBieRS,0,0,True,,"{'text': 'CountEveryVote', 'indices': [0, 15]},{'text': 'CountAllTheVotes', 'indices': [16, 33]},{'text': 'CountTheVotes', 'indices': [34, 48]},{'text': 'BidenHarris2020', 'indices': [49, 65]},{'text': 'Biden', 'indices': [66, 72]}",,Twitter Web App,https://mobile.twitter.com,23856239,Gary Spivack,thegaryspivack,2009-03-11 23:54:23,116,DWP-executive VP,False,False,"Los Angeles, CA",460,3611,1
,1324056752011288576,2020-11-04 18:31:44,"RT @kirkacevedo: Hey @realDonaldTrump
wants to stop counting votes...
we’re ahead and we win.

If he wants to count all the votes...
We’re…",210,0,True,,,,"{'screen_name': 'kirkacevedo', 'name': 'Kirk Acevedo🇺🇸', 'id': 164060400, 'id_str': '164060400', 'indices': [3, 15]},{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [21, 37]}",Twitter for Android,http://twitter.com/download/android,781657760660348929,Nancy ❤🐕‍🦺🌊🌊🌊,NancyluvClyde,2016-09-30 00:51:47,7139,Granny 🤶hoping for a better future for all our children #Vote Blue 💙 #BidenHarrisToSaveAmerica #VoteForDemocracy 🌊,False,False,United States,7824,21036,4
,1324056750287474688,2020-11-04 18:31:43,"Echt absurd, hoe de media zich naar Trump visie buigt.
Trump probeert het systeem van stemmen te bekritiseren.… https://t.co/B8T3nTXa4C",0,0,False,,,,,Twitter Web App,https://mobile.twitter.com,96138222,Godelieve Engbersen,GodelieveTT,2009-12-11 14:39:41,2322,,False,False,Tilburg,3229,64468,77
,1324056748739629056,2020-11-04 18:31:43,"RT @ewarren: Waiting in line for hours.
Facing voter intimidation.
Figuring out how to vote safely.

Americans made their voices heard in r…",4239,0,False,,,,"{'screen_name': 'ewarren', 'name': 'Elizabeth Warren', 'id': 357606935, 'id_str': '357606935', 'indices': [3, 11]}",Twitter for Android,http://twitter.com/download/android,36550672,Jamie,jmelynn59,2009-04-30 01:25:23,72,,False,False,,555,2473,0
,1324056748383240197,2020-11-04 18:31:43,"Whatever happens, we have so much work to do.
#CountEveryVote 
#ProtectTheResults 
@ConcordIndivis1 
@TamiGouveiaMA https://t.co/Ym5VsckFhW",0,0,False,,,"{'text': 'CountEveryVote', 'indices': [46, 61]},{'text': 'ProtectTheResults', 'indices': [63, 81]}","{'screen_name': 'ConcordIndivis1', 'name': '@ConcordIndivisible', 'id': 1149783660188590082, 'id_str': '1149783660188590082', 'indices': [83, 99]},{'screen_name': 'TamiGouveiaMA', 'name': 'Dr. Tami Gouveia', 'id': 1870721408, 'id_str': '1870721408', 'indices': [101, 115]}",Twitter for iPhone,http://twitter.com/download/iphone,1177225666317692929,Laura for a Livable Climate,DoBetterLaura,2019-09-26 14:17:48,57,"Not much time to tweet, seeing as the world is on fire. Activist. Organizer. Mother. Listening. These views are my own. (she/her/hers)",False,False,Massachusetts,387,171,1
,1324056747917467648,2020-11-04 18:31:43,"RT @aoglasser: as we #CountEveryVote it's a tough day for many seeing a divided country

please

reach out to someone who has feared for th…",14,0,False,,,"{'text': 'CountEveryVote', 'indices': [21, 36]}","{'screen_name': 'aoglasser', 'name': ""Avital O'Glasser, MD FACP FHM"", 'id': 3044186809, 'id_str': '3044186809', 'indices': [3, 13]}",Twitter for Android,http://twitter.com/download/android,1263871848476889088,COmama74,COmama74,2020-05-22 16:38:35,3633,Mama of 5 trying to make my way through this CrAzY life 🌊😷💪👩‍🦽🏳️‍🌈🗣 #DumpTrump2020 #WearADamnMask #RESIST,False,False,"Colorado, USA",3940,10474,7
,1324056746990596097,2020-11-04 18:31:42,"RT @MuellerSheWrote: Trump campaign manager Bill Stepian, who replaced Brad Parscale (arrested), who replaced Paul Manafort (convicted), sa…",187,0,False,,,,"{'screen_name': 'MuellerSheWrote', 'name': 'Mueller, She Wrote Podcast', 'id': 926164634570067968, 'id_str': '926164634570067968', 'indices': [3, 19]}",Twitter for Android,http://twitter.com/download/android,970117914731757568,🌊🥁@Royaldmd1🥁🌊 #nastywoman🌊🌊🌊,royaldmd1,2018-03-04 02:05:09,3995,"🌊🌊#BidenHarris2020🌊🌊
DEMOCRAT #WOMENFORBIDEN #VETERANSFORBIDEN
USAF Vet
Widow USAF Pararescue Vet🇺🇸 #VetsAgainstTrump

I BLOCK #MAGA #TRUMPERS
NO LISTS",False,False,United States,4993,156478,12
,1324056746453774338,2020-11-04 18:31:42,"RT @DebraMessing: HEY #GEORGIA !!!!!

You have until this Friday to #Cure your vote!  If you voted and there was a problem with it (signatu…",1765,0,True,,,"{'text': 'GEORGIA', 'indices': [22, 30]},{'text': 'Cure', 'indices': [68, 73]}","{'screen_name': 'DebraMessing', 'name': 'Debra Messing✍🏻', 'id': 499073990, 'id_str': '499073990', 'indices': [3, 16]}",Twitter for iPhone,http://twitter.com/download/iphone,1462716367,notorious aBIGail,abigailbennett_,2013-05-27 17:28:30,682,"and when you speak of me, speak well",False,False,"RALEIGH, NC | AUBURN, AL",475,15383,5
,1324056745929404416,2020-11-04 18:31:42,"RT @rrcmspence: Please show some class. 

You already got DeJoy to hold up ballots.  You already challenged the states' rights to accommoda…",6,0,False,,,,"{'screen_name': 'rrcmspence', 'name': 'Carolyn (She/her) Make America DECENT again 🌊🌊🌊', 'id': 2704751330, 'id_str': '2704751330', 'indices': [3, 14]}",Twitter Web App,https://mobile.twitter.com,889862238168727556,RESIST!,F_E_Wander,2017-07-25 14:57:45,92,Unwanted spam will be reported and blocked.,False,False,,0,5894,0
,1324056745162006536,2020-11-04 18:31:42,RT @judgeyourself99: @realDonaldTrump #KeepTheFaith #CountEveryVote #BidenHarris2020 Joe Biden will be the next President Of The United Sta…,3,0,False,,,"{'text': 'KeepTheFaith', 'indices': [38, 51]},{'text': 'CountEveryVote', 'indices': [52, 67]},{'text': 'BidenHarris2020', 'indices': [68, 84]}","{'screen_name': 'judgeyourself99', 'name': 'KeanoTheDog', 'id': 1172545640360022019, 'id_str': '1172545640360022019', 'indices': [3, 19]},{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [21, 37]}",Twitter for Android,http://twitter.com/download/android,1014889872258158593,T A Madrid-Plasch,PlaschT,2018-07-05 15:12:56,3509,"Newport, Minnesota fur Mama 💖💕LOVE MY GSD's and Chi's PACK! Adopt don't shop!!  💖🐶🐕🐾🐾😎💕
#dogrescues  #mndogs #newportdogs 
#VOTEBLUE2020
🌊🌊🌊🌊🌊🌊🌊",False,False,"Newport, MN",4993,12841,10
,1324056744721567745,2020-11-04 18:31:42,"RT @DebraMessing: YESSSSSSSSSSSSSSSSS!!!!!! 

#BIDEN is WINNING!!! We KNEW IT!  Who hop! When they #CountEveryVote #Biden will be PRESIDENT…",173,0,False,,,"{'text': 'BIDEN', 'indices': [46, 52]},{'text': 'CountEveryVote', 'indices': [99, 114]},{'text': 'Biden', 'indices': [115, 121]}","{'screen_name': 'DebraMessing', 'name': 'Debra Messing✍🏻', 'id': 499073990, 'id_str': '499073990', 'indices': [3, 16]}",Twitter Web App,https://mobile.twitter.com,1238764210554916864,katie Keys,katieKeys17,2020-03-14 09:50:04,177,#RESIST #NotMyPresident! I am NOT a bot but I am a prisoner of twitter..,False,False,,269,49517,0
,1324056743781965829,2020-11-04 18:31:42,"RT @AmoneyResists: I’d also like to point out as someone who watched every minute of the results as they came in (and am still watching), t…",27,0,False,,,,"{'screen_name': 'AmoneyResists', 'name': 'Andrew Wortman 🏳️\u200d🌈', 'id': 739844197935644672, 'id_str': '739844197935644672', 'indices': [3, 17]}",Twitter for iPhone,http://twitter.com/download/iphone,817814451910889473,Julie Kanealiʻi,juliekanealii,2017-01-07 19:25:34,446,LOVE is the only answer. 💜💜💜 ♍️ Blessed to live on Kaua'i🌈🌺🏝⛱Grandma to Keawe. Married to a Vietnam Vet. #49ers #GoDucks #VoteBlueNoMatterWho,False,False,Kauaʻi,1678,26525,3
,1324056742414622721,2020-11-04 18:31:41,"RT @TheDemCoalition: ""Pennsylvania will have a fair election and we will count every vote,"" @GovernorTomWolf said in response to Trump's li…",67,0,False,,,,"{'screen_name': 'TheDemCoalition', 'name': 'Democratic Coalition', 'id': 713839291210792960, 'id_str': '713839291210792960', 'indices': [3, 19]},{'screen_name': 'GovernorTomWolf', 'name': 'Governor Tom Wolf', 'id': 2978837542, 'id_str': '2978837542', 'indices': [92, 108]}",Twitter for iPhone,http://twitter.com/download/iphone,1323493708877029376,Garry Womack,VetsresistGOP,2020-11-03 05:14:34,4,I believe in climate change. #TheResistance #FBR. #BidenHarris2020,False,False,"Lincoln, NE",29,370,0
,1324056739961077760,2020-11-04 18:31:41,Count them all! #CountEveryVote #CountAllTheVotes https://t.co/dGujw6SIZx,0,0,True,,,"{'text': 'CountEveryVote', 'indices': [16, 31]},{'text': 'CountAllTheVotes', 'indices': [32, 49]}",,Twitter for iPhone,http://twitter.com/download/iphone,495489331,Iris,Iris_dianaa,2012-02-18 01:11:03,403,"not living perfectly, just growing honestly.",False,False,"Houston, TX ",317,14406,0
,1324056737985536003,2020-11-04 18:31:40,"RT @DebraMessing: HEY #GEORGIA !!!!!

You have until this Friday to #Cure your vote!  If you voted and there was a problem with it (signatu…",1765,0,True,,,"{'text': 'GEORGIA', 'indices': [22, 30]},{'text': 'Cure', 'indices': [68, 73]}","{'screen_name': 'DebraMessing', 'name': 'Debra Messing✍🏻', 'id': 499073990, 'id_str': '499073990', 'indices': [3, 16]}",Twitter for iPhone,http://twitter.com/download/iphone,600779916,⚡️ Flash,crysforfrys,2012-06-06 05:16:09,168,Sound Designer | Rock enthusiast... of the music? ...of the minerals? perhaps both 👀,False,False,,420,13014,5
,1324056737830309890,2020-11-04 18:31:40,RT @OliviaTroye: .@realDonaldTrump has been publicly hinting at his desire to become a dictator for months. His “victory” speech was appall…,643,0,False,,,,"{'screen_name': 'OliviaTroye', 'name': 'Olivia of Troye', 'id': 2329492448, 'id_str': '2329492448', 'indices': [3, 15]},{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [18, 34]}",Twitter for iPad,http://twitter.com/#!/download/ipad,837779684171591684,Caryn Kruger-Sidman,KrugerCaryn,2017-03-03 21:40:16,1245,"Animal Advocate & Rescuer, Diehard Democrat, Grandma, Atheist & Fan of ALL Sports - Never trumper! #Resistance #VoteBlueNoMatterWho",False,False,"Texas, USA",1615,191311,2
,1324056736957943809,2020-11-04 18:31:40,#Trump #Biden #Trump2020 #biden2020 #Election2020  #Elections2020  #ElectionDay  #USAElections2020 #Vote2020 … https://t.co/3q2FiWq2Ld,0,0,False,,,"{'text': 'Trump', 'indices': [0, 6]},{'text': 'Biden', 'indices': [7, 13]},{'text': 'Trump2020', 'indices': [14, 24]},{'text': 'biden2020', 'indices': [25, 35]},{'text': 'Election2020', 'indices': [36, 49]},{'text': 'Elections2020', 'indices': [51, 65]},{'text': 'ElectionDay', 'indices': [67, 79]},{'text': 'USAElections2020', 'indices': [81, 98]},{'text': 'Vote2020', 'indices': [99, 108]}",,Twitter for Android,http://twitter.com/download/android,988957880,‛mai the archer ˡᵛˢ ʰᵃʳʳʸ | 🦋,killmyfallss,2012-12-04 15:10:37,1689,- Wԋσ ɱҽ? Nσ ყσυ. ↬owner of tuya and wonder                                         ♕ mia regina @sweethabiture,False,False,↳liam ❣️,2791,34456,37
,1324056735481536514,2020-11-04 18:31:40,"RT @AynRandPaulRyan: PA, MI, and WI are still counting mail-in votes because the GOP state legislatures refused to pass a law to start proc…",544,0,False,,,,"{'screen_name': 'AynRandPaulRyan', 'name': ""Holly Figueroa O'Reilly"", 'id': 755835576, 'id_str': '755835576', 'indices': [3, 19]}",Twitter for iPhone,http://twitter.com/download/iphone,823249467910553602,Lacey #DemForce,4laesperanza,2017-01-22 19:22:23,744,"Lifelong Dem.Formerly polite, and maybe too complacent. Now officially Nasty. Believe in facts, science, equality for all. I. Have. Had. It. Adelante!#WhyIMarch",False,False,"New York, USA",1963,31672,6
,1324056734160228352,2020-11-04 18:31:39,"May the force of good be with us! 
#CountEveryVote
#EveryVoteCounts

https://t.co/rPpMyh3DUj",0,0,False,,,"{'text': 'CountEveryVote', 'indices': [35, 50]},{'text': 'EveryVoteCounts', 'indices': [51, 67]}",,Twitter for Android,http://twitter.com/download/android,853139823514705920,Ashesashes🌊🌊 #ByeDon #NoRA,weallfalld0wn_,2017-04-15 06:55:59,1849,"True Blue concerned citizen tired of accepting the unacceptable! When will this nightmare end? Chronic re-tweeter, hoping beyond hope that Love will Trump Hate!",False,False,United States,5003,40296,2
,1324056731949756422,2020-11-04 18:31:39,Trump is about to lose this election... he is now running &amp; in the lead as President of the SORE LOSER club… https://t.co/551qKS7443,0,0,False,,,,,Twitter for iPhone,http://twitter.com/download/iphone,1318632556376420354,Dee,Dee02624692,2020-10-20 19:18:05,17,,False,False,,70,153,0
,1324056731731808260,2020-11-04 18:31:39,"RT @CecileRichards: Women have turned out in force - voting by mail, voting early, and in record numbers in every state. In a democracy, th…",72,0,False,,,,"{'screen_name': 'CecileRichards', 'name': 'Cecile Richards', 'id': 17011177, 'id_str': '17011177', 'indices': [3, 18]}",Twitter for iPhone,http://twitter.com/download/iphone,246848025,Mira,msborggreen,2011-02-03 15:59:40,1055,Founder @DanesforHillary @DanesforHarris #stillwithher #BidenHarris2020 #feminist #newsaddict #tvshowafficionado #activist #lupuswarrior #teamkind 💕,False,False,Denmark,486,47228,48
,1324056731551453184,2020-11-04 18:31:39,"#CountTheVotes 
#CountEveryVote 
#ProtectTheResults 
#DemCast https://t.co/92rqOtqbyz",0,0,True,,,"{'text': 'CountTheVotes', 'indices': [0, 14]},{'text': 'CountEveryVote', 'indices': [16, 31]},{'text': 'ProtectTheResults', 'indices': [33, 51]},{'text': 'DemCast', 'indices': [53, 61]}",,Twitter for iPhone,http://twitter.com/download/iphone,3312487501,It’sAllGood,SallgoodIt,2015-08-11 13:24:41,7608,"Someone is not telling the truth, indeed. Parent. Book & science fan. #BidenHarris #DontTrustBarr Disclaimer: Not my actual photo.",False,False,"Reality, USA",8359,5328,15
,1324056730448388103,2020-11-04 18:31:38,"RT @drfonggomez: Does anyone else feel like the busy, long call days of residency were helpful training to endure this sleepless period of…",1,0,False,,,,"{'screen_name': 'drfonggomez', 'name': 'Stephanie Fong Gomez, MD, MS', 'id': 1008107356696145920, 'id_str': '1008107356696145920', 'indices': [3, 15]}",Twitter for iPhone,http://twitter.com/download/iphone,2886412360,Doctors for Biden,DoctorsForBiden,2014-11-21 01:21:59,12044,Doctors and health professionals across the country organizing to support Joe Biden and Kamala Harris #TeamJoe #VoteEarly #VoteHealth #Rally4Health,False,False,United States of America,1376,6585,66
,1324056730372919298,2020-11-04 18:31:38,"RT @wemoveEU: The #Election2020 is contested, a peaceful transfer of power and democracy itself are at risk. But we’re not just helpless ob…",9,0,False,,,"{'text': 'Election2020', 'indices': [18, 31]}","{'screen_name': 'wemoveEU', 'name': 'WeMove Europe', 'id': 3291410230, 'id_str': '3291410230', 'indices': [3, 12]}",Twitter Web App,https://mobile.twitter.com,897852422,Kirsikka Kaipainen,KirsikkaKaipain,2012-10-22 15:47:00,327,"Sustainability, mental health, civic robots, UX, societal impact. Post-doc at @TampereUni, jack-of-all-trades at @HeadstedCo. Opinions are my own.",False,False,,819,413,9
,1324056729085046785,2020-11-04 18:31:38,They need to be both locked up now!  #CountEveryVote https://t.co/Ykst2qNjLr,0,0,True,,,"{'text': 'CountEveryVote', 'indices': [37, 52]}",,Twitter for iPhone,http://twitter.com/download/iphone,800202388061552640,America are you watching?,neverquiet1,2016-11-20 05:01:31,5903,lesbian who will fight to make sure 45 loses in 2020. #biden2020 #voteblue2020 🏳️‍🌈🏳️‍🌈#resistance #CADem #ridewithjoe #Z22,False,False,United States,6476,78105,31
,1324056727990362112,2020-11-04 18:31:38,RT @iSheyman: UPDATE: @JoeBiden and @KamalaHarris are now leading the popular vote by millions AND  have leads in enough states to be 270+…,53,0,True,,,,"{'screen_name': 'iSheyman', 'name': 'Ilya Sheyman', 'id': 14868189, 'id_str': '14868189', 'indices': [3, 12]},{'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [22, 31]},{'screen_name': 'KamalaHarris', 'name': 'Kamala Harris', 'id': 30354991, 'id_str': '30354991', 'indices': [36, 49]}",Twitter for iPhone,http://twitter.com/download/iphone,17071284,WSportsFan. 🏀🏳️‍🌈/🇺🇸/🇨🇦 🌲🚴‍♀️,CalWSportsFan,2008-10-30 18:50:25,1033,"Filmmaker/journalist...🏳️‍🌈 a Harvard Crimson, Cal 🐻 & Whitman Blues fan of (all) women's sports. 🚴‍♀️ Expat. Hoping our “democracy” survives.",False,False,"Vancouver, British Columbia",2775,161944,23
,1324056727680147456,2020-11-04 18:31:38,Democracy is only as strong as the people's will to defend it. We must count every vote and stand up and fight for… https://t.co/a40SyoWYIW,0,0,False,,,,,Twitter Web App,https://mobile.twitter.com,1591673724,Julia Isaacs,jbixleri,2013-07-13 19:41:14,24,,False,False,,43,132,0
,1324056722005282817,2020-11-04 18:31:36,Its very annoying to see both candidates declaring themselves the winner before all the votes are counted. When the… https://t.co/zOjw4sD0l0,0,0,False,,,,,Twitter for iPhone,http://twitter.com/download/iphone,414895338,brandan,BrandanEaves,2011-11-17 16:41:37,99,Glad i dipped in your ink BRO!,False,False,,79,1218,0
,1324056721132670977,2020-11-04 18:31:36,Must👀‼️🇺🇸💪🙏 #GodBlessAmerica #BidenCrimeFamilly #CountEveryVote https://t.co/b3DWW2eddN,0,0,True,,,"{'text': 'GodBlessAmerica', 'indices': [12, 28]},{'text': 'BidenCrimeFamilly', 'indices': [29, 47]},{'text': 'CountEveryVote', 'indices': [48, 63]}",,Twitter for iPhone,http://twitter.com/download/iphone,1134913401505734656,runrunblue（no.2）,2Runrunblue,2019-06-01 20:03:35,1548,"⚠️没有共产党才有新中国！ Without CCP（the Chinese Communist Party,）There is a new China！坚定支持郭文贵先生的爆料革命！Mr. Guo Wengui has my full support♥️",False,False,United States,428,3662,8
,1324056721069887489,2020-11-04 18:31:36,"RT @DebraMessing: HEY #GEORGIA !!!!!

You have until this Friday to #Cure your vote!  If you voted and there was a problem with it (signatu…",1765,0,True,,,"{'text': 'GEORGIA', 'indices': [22, 30]},{'text': 'Cure', 'indices': [68, 73]}","{'screen_name': 'DebraMessing', 'name': 'Debra Messing✍🏻', 'id': 499073990, 'id_str': '499073990', 'indices': [3, 16]}",Twitter Web App,https://mobile.twitter.com,4185357023,🔺 Guillaume & Kazooie 🦜,GLM_Kazooie,2015-11-14 09:34:24,274,"🏙️ Créateur de la série Vengeance | 🔥 Lio Fotia fag
👊 Smash Ultimate | ⚙️ Touhou Hisoutensoku
he/il, pp by @LioWig

La série à succès Vengeance :",False,False,,376,33608,3
,1324056720671428609,2020-11-04 18:31:36,"RT @BillyBaldwin: If Biden takes Nevada, Wisconsin &amp; Michigan... he wins without Pennsylvania.
#CountEveryVote 
#EveryVoteCounts
#BidenHarr…",100,0,False,,,"{'text': 'CountEveryVote', 'indices': [99, 114]},{'text': 'EveryVoteCounts', 'indices': [116, 132]}","{'screen_name': 'BillyBaldwin', 'name': 'Billy Baldwin', 'id': 784890784273215488, 'id_str': '784890784273215488', 'indices': [3, 16]}",Twitter for iPhone,http://twitter.com/download/iphone,1281291976806141953,AlteredChord,TalkShap,2020-07-09 18:20:06,481,"#Resist #Remove45 #BLM #justice #45sociopath. Here to help defeat Trump. RT’s chill. NO DM’s. Professional jazz guitarist. ❤️John Coltrane, all things music.",False,False,Blue State ,1666,6805,0
